Timestamp,Source_IP,Packet_Count,Byte_Volume_KB,Failed_Logins
2026-06-10 08:15:59,192.168.1.240,24,219.93159330415543,1.0
2026-06-10 03:21:16,10.0.5.18,7,22.9537435595332,26.0
2026-06-10 18:53:40,10.0.5.48,1006,7866.046501242347,0.0
2026-06-10 07:45:16,10.0.5.41,1321,7960.526073208079,0.0
2026-06-10 12:40:19,192.168.1.156,24,119.79386250953074,1.0
2026-06-10 15:57:13,192.168.1.141,9,207.43915338017752,1.0
2026-06-10 09:25:27,10.0.5.30,4,16.300515415091606,30.0
2026-06-10 04:51:54,192.168.1.116,10,184.03098522344413,1.0
2026-06-10 12:55:05,192.168.1.181,9,149.29724507952795,1.0
2026-06-10 17:21:41,192.168.1.205,25,136.25395927589773,1.0
2026-06-10 01:53:36,192.168.1.54,9,173.1255348385085,1.0
2026-06-10 03:21:49,10.0.5.23,1272,8650.254917521912,0.0
2026-06-10 09:37:02,10.0.5.5,869,7283.754343988267,0.0
2026-06-10 10:18:56,10.0.5.5,6,21.259354121072946,22.0
2026-06-10 13:13:11,192.168.1.125,24,180.96880682225844,1.0
2026-06-10 03:34:27,192.168.1.252,8,150.60561268220414,1.0
2026-06-10 03:06:19,10.0.5.34,6,16.783079620568166,23.0
2026-06-10 15:30:05,192.168.1.162,20,97.13846918878112,1.0
2026-06-10 02:16:50,192.168.1.142,21,179.8667375640619,1.0
2026-06-10 15:31:58,10.0.5.18,1393,6256.294366262997,0.0
2026-06-10 13:02:55,192.168.1.141,24,127.76033768654904,1.0
2026-06-10 15:13:36,10.0.5.23,1068,7781.7810061819555,0.0
2026-06-10 12:58:36,10.0.5.6,7,21.90220855994286,16.0
2026-06-10 08:32:51,192.168.1.62,22,91.21833978174938,1.0
2026-06-10 21:03:48,192.168.1.236,10,173.94920795977478,1.0
2026-06-10 12:27:51,10.0.5.44,719,8685.947887806631,0.0
2026-06-10 07:19:32,10.0.5.9,1287,7177.5893148073455,0.0
2026-06-10 07:55:11,192.168.1.128,20,187.66945718182197,1.0
2026-06-10 17:10:22,192.168.1.34,12,196.15304494321276,1.0
2026-06-10 21:11:32,10.0.5.45,5,18.697527557252748,44.0
2026-06-10 13:13:08,192.168.1.164,14,97.60871737817804,1.0
2026-06-10 00:43:17,10.0.5.23,1146,9397.172269097591,0.0
